NORMAL,,WACKY,,,NORMAL2,NORMAL3,NORMAL4,
@triangle (3000 1000 15000 addinc1(-1)) @dump_data(0 3000) +3000,,@triangle (3000 1000 15000 addinc1(-1) wacky(y)) @dump_data(0 3000) +3000,,,@triangle (3000 984 30000 addinc2(-1)) @dump_data(0 3000) +3000,@triangle (3000 984 30000 addinc1(-1)) @dump_data(0 3000) +3000,@triangle (3000 984 30000 addinc2(-1) plus(35000)) @dump_data(0 3000) +3000,
0,,0,,,,,35000,
1000,1000,64552,,,1000,984,35984,984
1999,999,63568,-984,984,1984,1967,36968,984
2997,998,62584,-984,984,2968,2949,37952,984
3994,997,61600,-984,984,3952,3930,38936,984
4990,996,60616,-984,984,4936,4910,39920,984
5985,995,59632,-984,984,5920,5889,40904,984
6979,994,58648,-984,984,6904,6867,41888,984
7972,993,57664,-984,984,7888,7844,42872,984
8964,992,56680,-984,984,8872,8820,43856,984
9955,991,55696,-984,984,9856,9795,44840,984
10945,990,54712,-984,984,10840,10769,45824,984
11934,989,53728,-984,984,11824,11742,46808,984
12922,988,52744,-984,984,12808,12714,47792,984
13909,987,51760,-984,984,13792,13685,48776,984
14895,986,50776,-984,984,14776,14655,49760,984
15000,105,49792,-984,984,15760,15624,50744,984
14016,-984,48808,-984,984,16744,16592,51728,984
13032,-984,47824,-984,984,17728,17559,52712,984
12048,-984,46840,-984,984,18712,18525,53696,984
11064,-984,45856,-984,984,19696,19490,54680,984
10080,-984,44872,-984,984,20680,20454,55664,984
9096,-984,43888,-984,984,21664,21417,56648,984
8112,-984,42904,-984,984,22648,22379,57632,984
7128,-984,41920,-984,984,23632,23340,58616,984
6144,-984,40936,-984,984,24616,24300,59600,984
5160,-984,39952,-984,984,25600,25259,60584,984
4176,-984,38968,-984,984,26584,26217,61568,984
3192,-984,37984,-984,984,27568,27174,62552,984
2208,-984,37000,-984,984,28552,28130,63536,984
1224,-984,36016,-984,984,29536,29085,64520,984
240,-984,35536,-480,480,30016,30000,65000,480
0,,36520,984,-984,29032,29047,64016,-984
,,37503,983,-983,28049,28094,63033,-983
,,38485,982,-982,27067,27141,62051,-982
,,39466,981,-981,26086,26188,61070,-981
,,40446,980,-980,25106,25235,60090,-980
,,41425,979,-979,24127,24282,59111,-979
,,42403,978,-978,23149,23329,58133,-978
,,43380,977,-977,22172,22376,57156,-977
,,44356,976,-976,21196,21423,56180,-976
,,45331,975,-975,20221,20470,55205,-975
,,46305,974,-974,19247,19517,54231,-974
,,47278,973,-973,18274,18564,53258,-973
,,48250,972,-972,17302,17611,52286,-972
,,49221,971,-971,16331,16658,51315,-971
,,50191,970,-970,15361,15705,50345,-970
,,51160,969,-969,14392,14752,49376,-969
,,52128,968,-968,13424,13799,48408,-968
,,53095,967,-967,12457,12846,47441,-967
,,54061,966,-966,11491,11893,46475,-966
,,55026,965,-965,10526,10940,45510,-965
,,55990,964,-964,9562,9987,44546,-964
,,56953,963,-963,8599,9034,43583,-963
,,57915,962,-962,7637,8081,42621,-962
,,58876,961,-961,6676,7128,41660,-961
,,59836,960,-960,5716,6175,40700,-960
,,60795,959,-959,4757,5222,39741,-959
,,61753,958,-958,3799,4269,38783,-958
,,62710,957,-957,2842,3316,37826,-957
,,63666,956,-956,1886,2363,36870,-956
,,64621,955,-955,931,1410,35915,-955
,,,,,,457,35000,-915
